INDEX;NAME;SHIRTNAME;JAPANESE PLAYER NAME;SPACING;COMMENTARY;AGE;NATIONALITY;FOOT;WEIGHT;HEIGHT;FORM;WEAK FOOT ACCURACY;WEAK FOOT FREQUENCY;INJURY TOLERANCE;GROWTH TYPE;MARKET PRICE;GK 0;SW 1;CB 2;LB 3;RB 4;DMF 5;CMF 6;LMF 7;RMF 8;AMF 9;LWF 10;RWF 11;SS 12;CF 13;POSITION;ATTACK;DEFENCE;HEADER ACCURACY;DRIBBLE ACCURACY;SHORT PASS ACCURACY;SHORT PASS SPEED;LONG PASS ACCURACY;LONG PASS SPEED;SHOT ACCURACY;PLACE KICKING;SWERVE;BALL CONTROLL;GOAL KEEPING SKILLS;RESPONSE;EXPLOSIVE POWER;DRIBBLE SPEED;TOP SPEED;BODY BALANCE;STAMINA;KICKING POWER;JUMP;TENACITY;TEAMWORK;S01 1-TOUCH PLAY;S02 OUTSIDE CURVE;S03 LONG THROW;S04 SUPER-SUB;S05 SPEED MERCHANT;S06 LONG RANGE DRIVE;S07 SHOULDER FEINT SKILLS;S08 TURNING SKILLS;S09 ROULETTE SKILLS;S10 FLIP FLAP SKILLS;S11 FLICKING SKILLS;S12 SCISSORS SKILLS;S13 STEP ON SKILLS;S14 DEFT TOUCH SKILLS;S15 KNUCKLE SHOT;S16 JUMPING VOLLEY;S17 SCISSOR KICK;S18 HEEL FLICK;S19 WEIGHTED PASS;S20 DOUBLE TOUCH;S21 RUN AROUND;S22 SOMBRERO;S23 180 DRAG;S24 LUNGING TACKLE;S25 DIVING HEADER;S26 GK LONG THROW;P01 CLASSIC NO.10;P02 ANCHOR MAN;P03 TRICKSTER;P04 DARTING RUN;P05 MAZING RUN;P06 PINPOINT PASS;P07 EARLY CROSS;P08 BOX TO BOX;P09 INCISIVE RUN;P10 LONG RANGER;P11 ENFORCER;P12 GOAL POACHER;P13 DUMMY RUNNER;P14 FREE ROAMING;P15 TALISMAN;P16 FOX IN THE BOX;P17 OFFENSIVE SIDEBACK;P18 TRACK BACK;ATTACK AWARENESS;DEFENCE AWARENESS;SKIN COLOR;SKIN TEXTURE;FACE MODE;LINKED FACE;FACE SLOT;LINKED HAIR;HAIR SLOT;BOOTS;UNTUCKED SHIRT;TIGHT KIT;GLOVES;DRIBBLE STYLE;FREE KICK STYLE;PENALTY KICK STYLE;DROP KICK STYLE;GOAL CELEBRATION STYLE #1;GOAL CELEBRATION STYLE #2;CLUB TEAM;NUMBER;NATIONAL TEAM
0;Dummy;DUMMY;???;3;0;22;England;R;70;175;4;4;4;C;142;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;1;1;Special;1;1078;1;5153;22;1;1;1;1;1;1;1;0;0;Arsenal;76;Áustria
72;Berisha;BERISHA;????·???;3;0;30;Albania;L;92;194;5;3;3;B;66;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;86;55;52;56;60;57;66;55;66;56;63;84;88;70;56;67;86;69;84;86;71;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Build;0;131;0;4316;22;1;0;0;1;1;1;1;0;0;Torino;1;
162;Kaiky;K. MELO;K;2;0;17;Brazil;R;80;188;4;4;4;A;1;6;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;52;75;71;66;66;70;67;70;58;55;55;66;50;72;66;66;70;80;76;75;72;70;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Build;0;131;0;4486;7;1;1;1;1;1;1;1;0;0;;7;
220;Soteldo;SOTELDO;?????;3;0;24;Venezuela;R;55;160;6;3;3;B;42;7;0;0;0;0;0;0;0;1;1;1;1;1;1;0;LWF;76;25;68;80;73;69;76;73;68;70;74;77;50;79;85;80;85;76;81;79;70;74;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;Build;0;131;0;4442;9;1;1;1;4;1;1;1;0;0;Santos;7;Venezuela
250;Gen Shoji;SHOJI;?? ??;2;0;23;Japan;R;74;182;6;6;5;B;13;3;0;0;1;0;0;1;0;0;0;0;0;0;0;0;CB;56;77;77;75;69;70;68;73;63;60;65;76;50;78;74;71;76;79;79;78;79;77;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;1;Special;1;726;1;4801;12;1;1;1;1;7;3;1;0;0;;7;
277;Jared Jeffrey;JEFFREY;????·??????;1;0;26;Usa;R;75;178;5;5;5;B;59;2;0;0;0;0;0;0;1;0;1;1;0;0;0;0;CMF;73;61;72;77;78;77;78;76;73;78;80;80;50;81;80;77;80;76;83;82;76;74;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;5531;4;1;0;0;1;1;1;1;0;0;;7;
329;Lamine Yamal;YAMAL;?? ???;3;0;17;Spain;L;72;180;6;7;6;B;66;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;LWF;84;55;80;91;84;82;82;85;84;84;84;86;44;84;80;86;89;83;83;85;80;82;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;4;1;Default;0;131;0;4498;8;1;0;1;4;1;1;1;112;25;Barcelona;27;
450;Diego Tardelli;D. TARDELLI;???????;1;613;29;Brazil;R;73;179;7;7;7;B;118;2;0;0;0;0;0;0;0;1;1;0;1;1;1;1;SS;85;44;78;87;76;76;74;75;83;76;81;83;50;83;85;85;85;77;83;80;79;78;80;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;2;5;1;Build;0;131;0;4394;4;1;1;1;1;1;1;1;54;22;;7;
557;Alexis Sánchez;SANCHEZ;????? ?????;2;89;33;Chile;R;70;169;5;4;4;B;54;7;0;0;0;0;0;0;0;1;1;0;1;1;1;0;LWF;83;56;72;84;79;79;80;79;81;80;77;80;50;84;88;89;89;81;81;82;79;78;75;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;3;2;3;1;Special;1;1340;1;5415;28;1;1;1;4;1;1;1;110;104;Internazionale;70;Chile
673;Bevic Moussiti-Oko;MOUSSITI OKO;??·???;2;0;27;Congo;R;89;184;5;4;4;B;22;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;65;30;68;67;68;66;64;62;71;64;67;73;50;81;72;67;76;88;73;77;67;62;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;5;1;Build;0;131;0;4360;4;1;0;0;1;1;1;1;0;0;;7;
721;Mina;YERRY MINA;a;2;0;26;Colombia;R;75;193;7;5;5;A;99;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;59;80;82;69;69;69;69;69;69;70;70;79;48;77;73;70;74;80;80;74;80;72;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;6;1;Build;0;131;0;4324;22;1;1;1;1;1;1;1;85;27;Fiorentina;14;Colômbia
723;Miha Mevlja;MEVLJA;.;2;0;32;Slovenia;R;83;190;5;4;4;B;228;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;CB;58;76;80;62;73;73;74;72;57;55;60;68;50;77;70;66;74;85;78;77;79;74;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;Default;0;131;0;4316;4;0;1;1;2;7;3;1;53;84;Spartak Moscow;32;
729;Juan Dinenno;J. DINENNO;?? ??;3;0;30;Argentina;R;73;186;6;5;5;A;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;85;46;80;79;77;84;82;80;88;82;81;85;50;86;84;83;83;82;83;80;76;88;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;2;1;1;Default;0;629;0;4704;28;1;1;0;4;1;1;1;29;13;Cruzeiro;90;
736;Omar Abdulrahman;OMAR;??;2;0;24;Uae;L;60;173;5;6;6;C;72;5;0;0;0;0;0;0;0;1;1;1;1;1;1;0;AMF;79;52;64;84;75;74;81;79;76;70;82;84;47;78;79;86;78;73;78;81;67;73;77;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;3;2;3;1;Build;0;626;0;4399;5;1;1;1;2;1;1;1;9;15;;7;
737;Dep;DELA;????·????;2;615;27;Uzbekistan;R;81;183;5;5;5;C;106;4;0;0;0;1;1;0;1;1;1;0;0;0;0;0;CMF;72;63;71;74;76;75;75;75;65;65;72;73;50;71;74;76;73;73;77;77;75;72;84;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Default;0;131;0;4513;4;0;0;0;1;1;1;1;0;0;;4;Uzbequistão
742;Damian Szymanski;SZYMANSKI;??·????;2;0;27;Poland;R;70;181;5;5;5;B;81;3;0;0;0;0;0;1;1;0;0;0;0;0;0;0;DMF;61;68;76;71;73;70;74;72;63;58;66;72;50;76;72;75;77;82;83;80;75;77;74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Default;0;1285;0;5360;4;1;1;1;1;1;1;1;0;0;;8;Polónia
745;Carlos Alberto;RIKELMI;???? ??? ???;3;0;20;Brazil;R;68;179;5;5;5;B;54;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;LWF;73;40;70;79;77;74;73;70;71;71;72;80;50;76;78;74;76;71;77;74;70;68;72;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;1;Build;0;131;0;4461;7;1;1;1;1;1;1;1;0;0;Sport Recife;4;
793;Miguel Gutiérrez;MIGUEL;???;2;1703;21;Spain;L;73;180;4;4;4;B;11;7;0;0;0;1;0;0;0;0;0;0;0;0;0;0;LB;62;55;58;71;68;64;69;65;49;45;68;69;50;70;79;74;78;70;76;68;66;58;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Build;0;131;0;4495;18;1;1;1;2;7;1;1;57;44;Girona;3;
801;Carroll;CARROLL;Fabian Schär;2;0;35;England;L;81;193;5;5;4;C;94;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;76;46;91;78;74;73;75;74;77;68;72;79;50;82;67;70;80;92;78;86;90;72;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;1;1;Special;1;1634;1;5616;12;1;1;1;4;8;1;1;56;58;Amiens;99;
804;Enis Bardhi;BARDHI;?? ??;3;0;23;Macedonia;R;67;172;6;7;6;B;11;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;AMF;73;44;61;82;79;75;81;81;73;93;91;82;50;71;82;83;76;72;78;82;67;70;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;1;1;Build;0;131;0;5386;1;1;1;1;1;1;1;1;0;0;Levante;10;Macedônia do Norte
811;David Button;DAVID BUTTON;???????·??????;1;0;28;England;R;84;191;6;3;3;A;52;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;25;78;40;35;30;30;35;35;40;50;60;42;79;77;77;45;68;79;60;75;80;68;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Build;0;131;0;4314;28;1;1;1;1;1;1;1;0;0;West Bromwich Albion;25;
816;Robben;ROBBEN;????;2;2085;33;Netherlands;L;80;180;5;4;2;C;55;6;0;0;0;0;0;0;0;1;1;0;1;1;0;0;RMF;80;45;70;88;80;79;82;77;83;75;83;87;50;77;92;89;81;72;71;77;73;74;73;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;3;2;1;1;Special;1;865;1;4940;10;1;1;1;2;10;1;1;73;29;;7;
817;Tomi Juric;JURIC;?????;3;0;27;Australia;R;84;191;5;5;5;B;139;6;0;0;0;0;0;0;0;0;0;0;0;0;1;1;SS;78;39;82;74;68;67;66;68;76;62;68;76;50;78;72;72;77;84;79;78;78;74;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;6;1;Build;0;392;1;4467;5;1;1;1;1;1;1;1;39;30;;7;
820;Gil;GIL;??;2;950;34;Brazil;R;84;188;5;5;5;A;26;5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;57;82;80;70;77;75;72;74;68;69;72;76;51;80;79;77;84;82;77;82;75;72;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;5;1;Build;0;400;0;4394;6;1;1;1;1;1;1;1;0;0;Santos;4;
821;Tiago Ilori;ILORI;???;3;0;29;Portugal;R;82;190;5;5;4;B;9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;60;78;77;74;73;75;74;76;67;65;71;74;50;79;80;74;86;76;80;79;82;70;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;3;1;Default;0;131;0;4499;10;1;1;1;2;1;1;1;0;0;;7;
822;J. Rankin-Costello;COSTELLO;??? ??????;2;0;24;England;R;64;178;5;1;1;A;3;4;0;0;0;1;1;1;0;1;1;0;0;0;0;0;RB;69;69;72;74;76;82;66;74;69;65;68;74;50;74;73;68;75;80;79;79;82;69;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;3;1;Default;0;1153;0;5228;28;1;1;1;1;1;1;1;0;0;Blackburn;11;
823;Duivenbooden;SIMON;?? ????;3;0;20;South Africa;R;80;190;3;1;1;B;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;CF;79;33;74;81;75;81;72;76;71;70;68;70;50;70;71;74;72;75;72;84;71;66;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;1;6;1;Default;0;131;0;4372;10;1;1;1;1;1;1;1;28;29;Vitesse;53;
826;Gio van Bronckhorst;VAN BRONCKHORST;?????;2;0;30;Netherlands;L;75;178;6;5;4;B;3;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;LB;75;72;72;79;77;78;85;83;71;78;83;80;50;81;80;80;83;79;87;85;78;84;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;1;Special;1;1522;1;5597;13;0;1;1;1;1;1;1;28;14;;19;Holanda Clássica
830;Andoni Goikoetxea;A. GOIKOETXEA;??;2;0;25;Spain;R;83;181;6;5;5;B;13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;CB;65;87;84;69;72;75;69;76;62;61;64;72;50;85;74;73;76;93;85;85;86;88;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;Special;1;447;1;4522;13;0;1;1;1;1;1;3;0;0;;7;
847;Paolo Rossi;ROSSI;??????;2;0;25;Italy;R;66;174;4;5;5;C;102;7;0;0;0;0;0;0;0;0;0;0;0;0;1;1;CF;94;35;88;83;78;73;76;72;88;73;80;84;50;97;86;84;83;75;83;83;85;75;81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;1;Special;1;131;1;4323;13;0;1;1;1;1;1;1;0;0;Juventus Clássico;17;
852;Casillas;IKER CASILLAS;??????;2;428;36;Spain;L;85;182;6;5;4;B;159;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;28;82;43;55;57;66;64;69;43;43;47;57;83;87;76;59;76;81;61;82;83;86;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;1;Special;1;438;1;4513;8;1;1;1;1;1;1;1;0;0;;7;
856;Wellington Carvalho;WELLINGTON;???;2;2491;28;Brazil;R;79;185;4;5;5;A;48;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;CB;53;72;76;70;63;64;73;70;59;58;53;69;50;70;73;64;78;81;74;74;76;70;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;4;1;Build;0;544;0;4619;23;1;1;1;1;1;1;1;0;0;;7;
865;Douglas Friedrich;DOUGLAS;.;3;0;33;Brazil;R;88;194;6;3;3;A;127;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;GK;30;82;44;51;55;55;52;57;43;43;45;49;84;77;67;50;72;80;60;76;82;69;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;1;Default;0;131;0;4359;2;1;1;1;1;1;1;3;0;0;;7;
866;Xavi;XAVI;???????;2;2526;38;Spain;R;68;170;4;6;5;B;75;7;0;0;0;0;0;0;1;0;0;0;0;0;0;0;CMF;80;59;55;92;93;91;87;80;72;81;81;92;50;70;79;67;66;71;79;74;52;72;95;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;2;1;1;Special;1;462;1;4537;3;0;1;1;3;10;1;1;79;11;;7;
892;Ruben Rochina;RUBEN;??????;3;0;29;Morocco;L;73;182;3;6;4;B;11;4;0;0;0;0;0;0;1;0;1;1;1;1;0;0;CMF;78;53;70;87;78;77;78;76;80;78;77;86;50;78;86;85;80;69;82;78;72;68;72;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;4;1;Default;0;131;0;4324;10;1;1;1;2;10;1;1;0;0;Granada;5;
925;Olivares;OLIVARES;?????·?????;2;0;20;Peru;L;72;185;3;6;5;B;4;7;0;0;0;0;0;1;1;1;1;1;0;0;0;0;AMF;79;61;71;78;72;75;74;75;61;72;70;76;50;74;73;75;73;75;69;77;73;73;83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;3;1;Build;0;131;0;4943;4;1;1;1;1;11;1;1;0;0;Sporting Cristal;14;
935;Oscar Hiljemark;HILJEMARK;??????·???;2;337;22;Sweden;R;78;183;5;5;5;B;52;4;0;0;0;0;0;1;1;0;0;0;0;0;0;0;CMF;69;66;71;76;79;78;78;75;65;76;72;79;50;79;76;73;75;80;85;85;77;77;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;3;3;2;1;Special;1;881;1;4956;10;1;1;1;1;1;1;1;0;0;;7;
